,idade,individuo_id,area_foliar_especifica,area_foliar_individual,comprimento_foliar,largura_foliar,potencial_hidrico_foliar,target_final
263,6,3244.0,110.92,18.12,6.99,4.12,,0
264,18,3244.0,159.3,21.55,7.6,4.42,,0
265,6,3872.0,143.87,26.96,8.58,4.43,-2.3,1
266,18,3872.0,106.56,35.11,11.82,4.71,-2.46,1
267,6,468.0,123.42,22.57,8.1,3.9,-2.2,0
268,6,1116.0,,,,,-2.3,1
269,6,1786.0,154.58,23.13,8.28,3.66,-2.2,0
270,6,2502.0,114.69,29.36,8.75,5.09,-2.2,0
271,6,3212.0,118.81,29.91,10.83,4.63,,0
272,6,3941.0,149.03,30.8,8.86,4.79,-2.41,0
273,6,560.0,128.87,35.94,10.84,4.87,-1.75,1
274,6,1114.0,,,,,-2.4,1
275,6,2025.0,133.29,28.46,9.59,4.06,-2.4,1
276,6,2503.0,139.69,35.63,10.04,5.31,-2.68,0
277,6,3144.0,144.58,27.45,9.1,4.39,,0
278,6,3820.0,145.14,34.03,9.78,5.36,-2.2,0
279,6,446.0,,34.94,9.97,4.95,-2.52,1
280,36,446.0,118.81,36.83,9.87,5.49,-2.86,1
281,6,1126.0,116.92,43.04,11.06,5.58,-2.2,1
282,6,1766.0,117.38,43.86,12.59,5.74,-2.3,1
283,36,1766.0,117.77,40.85,15.37,4.47,-2.12,1
284,6,2430.0,125.72,37.26,9.91,5.53,-2.75,1
285,36,2430.0,94.06,31.65,11.42,4.4,-2.7,1
286,6,3166.0,127.92,23.39,8.02,4.29,,0
287,6,3891.0,128.63,30.75,9.65,4.32,-2.25,1
288,6,655.0,,58.14,12.38,6.54,-1.85,0
289,6,1133.0,88.4,22.6,8.14,3.73,-2.16,0
290,6,1993.0,136.01,39.67,9.12,5.96,-2.5,1
291,6,2640.0,143.42,35.65,10.33,4.94,-2.36,1
292,6,3295.0,129.36,38.51,10.05,5.26,,1
293,6,3809.0,128.33,63.74,13.98,6.8,-2.12,1
294,36,3809.0,95.43,54.96,17.59,5.2,-2.4,1
295,6,513.0,127.0,35.31,10.87,5.03,-2.2,0
296,18,513.0,93.46,43.63,16.24,5.0,,0
297,6,1317.0,,,,,-2.2,0
